SubjectID,TotalTestCount
10032,17
10056,2
10058,3
10119,52
10120,3
10121,8
10123,3
10124,15
10126,2
10127,16
10129,0
10132,3
10133,2
10222,13
10231,40
10232,3
10233,0
10453,2
10454,8
10455,0
10457,3
10460,2
10649,0
10657,7
10658,0
10659,0
10938,0
10939,6
11714,0
723,3
