SubjectID,MaxUnchangedCodeAttempts
10032,1
10056,2
10058,3
10119,2
10120,1
10121,1
10123,2
10124,1
10126,2
10127,1
10129,3
10132,2
10133,1
10222,3
10231,2
10232,1
10233,1
10453,1
10454,1
10455,2
10457,1
10460,2
10649,2
10657,3
10658,2
10659,2
10938,3
10939,2
11714,2
723,1
