SubjectID,SessionCount
10032,4
10056,7
10058,5
10119,4
10120,5
10121,3
10123,8
10124,5
10126,8
10127,5
10129,4
10132,6
10133,6
10222,8
10231,3
10232,9
10233,7
10453,1
10454,5
10455,5
10457,4
10460,5
10649,6
10657,5
10658,4
10659,1
10938,6
10939,9
11714,5
723,1
