SubjectID,MinutesToGlobalLastCompile
0031cf6ea10d6eecb4c2920a81095b6beee8c7e3971c26d4f4bd4b1282784ed1,76242.54285714286
01aa2a6fd77235caa3e9bd12fafd5ef45a2472853de504d55074bcf552e66172,129748.41666666667
02752e41c2313fb787d99ea8705e24198662552ed61813f3a255e5c3bc940e8a,79303.16811594204
02bffd079ea088c3392776f7c96cec552938973e57bd6720ca46de11f01650b7,133011.41666666666
0301161171c1cb936507368f8f85470c4d03ed1686e7c4bdad0049e8807d842a,72458.68833333334
04443629da192d0ba811da39de13a0188ebc81f315b9778076c99b3d24c77ca8,71579.14469696967
04fd4acf7e3673e756a9eb641d6cc6dc76d4e3a450faf28bfd053a6da897dc43,131304.28333333333
061efd55e22cee5cc61633dd3f82d6b83727307bc487bbfa252d101df45d5270,73840.92435897436
075b12bf003c3a146eeaca7b77488394ae317b4481bb19b94233eca62608acbe,74683.58083333334
07b6add08d4b48e6c0a30c66ecbed689f8e12535afec86dca220765fefb14cbb,20096.712499999998
07c6549980f522d8460e258b99937f6aa062b748ca6e63ebc987a32f69ca5002,50594.96666666667
0821bdbe0e9b45ef1248f3ce2d378754ad010e060c72eb5ac45a143f8d00d2d5,96633.33571428573
0ad9f193151b2b9ee24802793708005028088fd070d8baacea40222eee3eb0b0,79423.39270833333
0be2ffdd8177f008c2139719375404a02209ad6c1ecac70647eed46c97024824,72883.45092592592
0d89819dc405b1585ab3704393587e804ead36f6f767dcae3c728ff2ee99d4f2,86529.78560606061
0ed0c4cab57f5b1018a9f605ccd8092a9eb6f8c1c6f6b39b822dae5e782e19f1,80697.46666666666
0f3ee595209f6fb56079235002193d7edc45addc3e85975498e7b53fd20c12b0,80782.63771929825
102fdecfe7d37180ebf92ac9f22f8288157a924e33876b2f5775dfe5c42948a8,69646.02023809524
1068b352ab9997f9dea00edda33965685f72eab755fd8d250c6dd2f2f0fd0b8e,84527.5125
10bcdd8d8d0b12e9fef3271e873bf3940a60e8ae4825ea24a5157a5f4e796c6d,103578.13333333332
144f345b8427e56e5f0557ca67575f1458e51502e4cbad144a637a70fd389a9a,70918.65396825396
1493f647480bf7445d8942bef623217fd89160649e6d6e5c1e04bc7e75a428f4,77115.83333333334
14da2e46f92711a808b506b4678e5bf0e269f8f0f90f7890fef17ad4b33ace4c,106031.24444444446
16481dd59db8f29d609902af0f4d0e8fad02591bb8ec897478327e142ecd03ed,90668.30277777778
1681192784be6ea2a41de7f68e57e8b304c6dab4afa4eb766d61f02c052e8368,82681.70533333335
1694c76a84d2134aa72559d7a6ce62f4df7701a27a8a7582f6251f8216278b7a,69588.99814814815
16cd71bf550a1dfef691dc56d367e665783d44f89b66eb3b40c1214f612e9370,102833.36538461536
18c559c887705e917127890561acdc63bce8efb65f2144b422a5c0ed17cd5d5c,127420.14047619049
1955503c30105cc4a497caa259a72dc98402fde3f4140d32522e6ff78e3f7a91,50420.655000000006
1a068472e9ef841b24938b7df8b2ab02c2a8413a3d296b08cfa2bc850fb12416,93462.51078431372
1ae1a8fda39b0a08223b7c133df0544c6f5e0a426d6e94ec3cc750f789edcb35,75834.98214285716
1bc139a2fac5f3a4e9e8b5f1bf396a36f1265cb9eddc9861f6c6cb42c6339baf,124086.21666666666
1c54f448acb42f7f2b0f0366281c646cb361c9ba92649910f667174047d67c8c,82646.57051282052
1cf5a5b3a82d1a98fe9348a3f8218e48a822f8dfe648bc8a7618ce0ffe4bcfcc,150314.5
1d1e40d20015a710d88989d27cb0774eab546a1fcd6bf238e1e0b4ca6eeab91f,141663.98333333334
1d28d26265db37b86a417fe273dbdc1879d14550198ad32c4f915761b71792d3,105486.3125
1d4756916e141e1deb229d2ee9be02e3a67ea00ce3e7bb40d430cc9c910828bd,97214.80641025644
1e4bd7a0b3b2a3fa26cac02e2092197da372fd0486a4358d5a50b3eda7e211ce,108828.94583333333
1eb9fcdd11ecf4f8e74678add97618060234094e6ccc3af8e164aa2e2afdae27,94837.56212121212
1f73494a9d3e90127d71b87566f97f9f8d30c8364f496bef12344c8ec5ab8f3b,85545.71203703704
1fa452f77d4cc771277af1649218b9dd0cefabd80eeaa7089b2ddc0271bf11ad,132529.9
20aeb7444b8fb2fc3965e9f94b6ae672aedb47628869006ad7133d8292539df4,92251.53402777777
214374d7dfa69c12238ce40ee9956e6cf7f64f42987bdd13b61f9f4ecccbb777,70845.17083333334
21a2fcda27eefe657f7a6f6ce571825ebeef05d37649d80d94df664d56d4bea6,71972.20833333333
22b5ee8e9c2c51b9a5874eb8d88dbafd5166bf5087e7f892cab539a46a91a3c3,32276.941666666666
245868d239b98e047865fda6bcbab48d894815ccd86b9fcaa1d4c4464f7f6074,78640.61153846154
25427416f3fe7af754bd84c17195eb12c12b9d0276dc812d01d1acafca6556d2,80078.91014492755
258ae3ff6d02a707064097c05784e65f192789993f572af9d13f3351ffdc4835,78823.58141025642
264ed163a2453f3116dbe6d0ea8350601a15e87fa7126cb2ed258ad861dfdf09,101377.09166666667
2666e0c3baea210eb7be52ac56afc79903effbd3d42019d81d258f22be13912d,66504.21515151516
26f9a1a3989684676ee87f88abde54380ad94b34f58434608a87444e95692a93,74427.81969696969
277338aef3935c78fd88da4748374d6b952acd9b001610c54b8e860a279fd36b,76241.19500000002
2820584643c682e98bbf9913b3ae9042ab35b0c7156159e0be00997567928758,63376.04074074075
29f4e529e5dc43d14b0547e5bf7def4391de4995c0ab72d961375f95cc7e19f5,91197.74
2a4923fa9ce5fa9f5676ad296d96b2efbfaf6c2f3ed102c27f2720619c055f56,94351.67857142857
2aa81636a0801032027619a430f7fd563d474f12c8a37e825f2cf4cf82c2513f,86134.86875
2b0d7973d3697e56354e470aa6862914b640f05eafa24b668c31111c18c24c29,61111.03333333334
2b765fe0ff8921ba8007f68a8f3114e5f9d156793b297666974d2cc8c459dbe9,122972.0
2da9ccda2c92ca42dc54cb2ad6fb83f9e028e6be253719f0f1c025ccc1bb21e8,150192.9
2e8968dcf53d59483593d3a87e809c59f9fd26c7e08284408dda95862bd30040,121251.74166666667
2e8d9d186f91de089dd9a3729ab9328a2d96e24da35fe01e64019625679d0665,119817.63333333333
2e91b513729cdcd7d048887ca2ce87c42fab4ad9e8d66a0c88fbdc4a3b51edda,130039.4
2fa52f17e355a71d8724c99ee2c6f1c126114469b3a19721461fa721ad8252df,86379.63148148147
30a94e0783e821f384919825a0751de1b0786e4e4b1d94c7fa60bfc9e3f2c7e2,129799.13333333333
30aaf42fe4bf69cdb8c8a67bbe0cbf93744f8c9f1a57f32743f8d67a11280524,121312.79444444443
312c86b7d64e33005a33b923397b49b912f1a2b970cacafd174f898897644b77,68833.73461538462
31454a3f2104f511572f100b672c778d783f92826ac86c8de0dcd9336f3bc56a,82228.81666666667
3150564d206ec136aa7a42329ea7329a3fc9ec58e6bbbee1e74184fa61f27b8d,98816.7011111111
32025281a83dcded7f2ed04216ab828bcc9a88f1d30a48a4c58d275c36d3a04f,125346.86666666665
327fb4cd88d86ea5aac6fe28ed8e4ac8bcd126fb1fcbbd819c453d84171b49a6,79606.74791666667
32b79cc616653b07490a0af1f23ddb5b48c51ceaf2e9f664c520f2830b479720,86437.6956140351
33ff5507d9f7e39c2cc9bf5c157d6b5e64c85c2e5e5c98fb4b71875cbf061c4f,55812.471428571436
346bb8476ab73eca6789340ad862094d5a23abcbb5038600dc869708f1402c78,104651.90000000001
3499935441b3acdcf94d2b0000a69a4121224cde064df888f08730b8a66776f3,87414.63703703704
352bc76fb1256b124c7797fc7866e2fa1d6f6da98c325ff3bc0b1f12687dc204,110733.42916666667
3557ff7d9f40e3e65f1344878275d557a3a6a9d1282d8799d9ab39710c8a9072,89828.65595238096
356af5c5923d2ab02d7ee3e4aa3868f438374c56442f922eac97f7cfb4bf6ffd,134456.23333333334
35b37f46015fb163a6bf29193439978211262163904916043de0ae69637fc1ed,150241.15
35c9cfa8428ff48fddbf3761aa3b4f0d4a5069bace0d65e56bbc889596bc7606,89938.59242424242
3613cc55e0e9ddc33d86c239eea978d9f20d9af727be3c76c949fb78d569b391,70388.80833333332
370725ae2a89dc37220150a7591606a162c94a5c3c539bbc6f142f3017c27ab9,77315.33666666667
37b5131818a0faa988d16fb2dce9bbd19bbe9683cf9256496b54f08aa9d477b6,100083.72222222223
38b4d34228d3973922e089338fd15b05c0b582ec4da268d26def6738fba99860,79385.03076923077
39a54fcafbc2cbdd0c20077deb0d376d69f58969d26da4998de424c0ba0fd375,99511.63333333333
39ff2abf6a5520e2e12bb525dc934f67267072726ed1d7f635abdcc7cf3db8b2,84817.71111111113
3a6e37dbe53b4b382157e5b9af490d2e0b73003471c91a70bce8af2e9d4e65b5,80644.46979166666
3c3fb94447d0bd2697f78ed72972fe044af9601c36a718e64eeadc35caabd7e3,75858.23833333333
3c4453ecbaae0742f7b8ddd9402541fca1019ee6412599fc2c42006617f84038,65373.42058823529
3cea3e7262d4c3076e2364bba5a70b3e981359b19387c8be420124d6dfd66d9d,51780.140909090915
3e8e29b5180606b4dfe452286e097fc245d472615349ad512add5168ea670705,73516.22333333333
3ede51276f65fc40763a7f84d942897c848d70abe645cc8e5ff479373ac81b5d,82854.17361111111
