SubjectID,CompileCount,CompileSpanMinutes,CompileSuccessRate,ErrorQuotient,MinutesFromGlobalFirstCompile,FracLong,MinutesToGlobalLastCompile,MeanTestScore,RED,SessionCount,MinutesToScore1
13b34a353ac9ea6554f0bfc998b55f394ed800dfc03b32dc37d311d2551a5749,59.0,51.05,0.1694915254237288,0.7222222222222222,0.0,0.0172413793103448,7.283333333333333,0.139477406779661,0.6187102506546951,2.0,18.616666666666667
275839578ec60b5084d5e18fccb01310e9f1b78293cad00bec043945e0f3e629,14.0,31.55,0.8571428571428571,0.0,18.683333333333334,0.1538461538461538,8.1,0.8372430714285714,0.0,3.0,0.3833333333333333
322817f4854f2f71b85db9d2e7c04e4a44c91ea866c689f277a658abc7d22b12,17.0,20.35,0.9411764705882352,0.0,20.716666666666665,0.125,17.266666666666666,0.678516588235294,0.0,3.0,3.85
351cff49ce968bd6bb542470c3004131a5042932b5f2cb0e7ea8492770b77485,5.0,8.566666666666666,0.4,0.3333333333333333,0.0333333333333333,0.25,49.73333333333333,0.4,0.1666666666666666,2.0,0.7166666666666667
453482ae02a485dd6eda2426eae4181835e1451a36229f550d4efb9d8a7a9470,6.0,3.1,0.6666666666666666,0.2,18.383333333333333,0.0,36.85,0.42,0.1,1.0,3.1
48002b47ecdcaeb4828400130c7d77959319f9ae612dfbd03a91f7422c093ac7,7.0,27.716666666666665,0.5714285714285714,0.25,13.033333333333331,0.3333333333333333,17.583333333333332,0.4342857142857143,0.125,3.0,0.5
48f565383f47c6752893810686bd0c5f07fef08e34bc22a3f398d3b8c8db7c43,29.0,47.48333333333333,0.3103448275862069,0.6956521739130435,4.35,0.0357142857142857,6.5,0.2703202068965517,0.5907522429261559,2.0,10.283333333333331
5e8589d4cd67c4b88f84e378d72875ccd07de5c9e20cc666bbf217de9d3567b4,23.0,38.35,0.8695652173913043,0.0,8.933333333333334,0.0909090909090909,11.05,0.6788356956521739,0.0,3.0,5.25
73da0df025bd69a83446ff2c9628a7f2f1ff34bff9e343059e17e4d31a6218d3,13.0,23.416666666666668,0.0,1.0,18.75,0.0833333333333333,16.166666666666668,0.0,0.923076923076923,2.0,60.0
7854ad4022596904b137ebbb044e0bbbd2f590b0dac7f5a46d9991f3c049d647,16.0,36.25,0.0,1.0,6.066666666666666,0.1333333333333333,16.016666666666666,0.0,0.9333333333333332,3.0,60.0
7ce2ef889fd3931ddf910c65e58e6b626f658d713486152c54f9f8a0e6f37375,22.0,45.23333333333333,0.8636363636363636,0.125,5.633333333333334,0.0952380952380952,7.466666666666667,0.8143747272727274,0.0625,3.0,0.2333333333333333
ad1624c5c3a02a3a3b3dcb044b912998b64ca2e7cd54abe79476f86a41a3234b,7.0,44.21666666666667,0.8571428571428571,0.0,7.8,0.3333333333333333,6.316666666666666,0.6342857142857142,0.0,3.0,0.0
aeff5cdc8c731a2b16beb6f260aeeca455401bc2ddb229aa87a464475f95b1ca,4.0,6.883333333333334,0.0,1.0,12.566666666666666,0.3333333333333333,38.88333333333333,0.0,0.75,2.0,60.0
b2c90b16a2864cf16993f00192cdb13ee656ac6cd53f745acd473a25224cd05d,21.0,56.28333333333333,0.7619047619047619,0.0769230769230769,2.05,0.25,0.0,0.6455782380952381,0.0384615384615384,6.0,0.0
bd41cbdc04707f80b319802470a1871b99d36766f9d020cc0f9a569a4d1bb54b,4.0,1.2333333333333334,0.5,0.3333333333333333,2.966666666666667,0.0,54.13333333333333,0.44230775,0.1666666666666666,1.0,1.2333333333333334
cf13a4b65841c7dceb8412708517c5be0cdedb328ac511655c4a95ee813d548b,5.0,1.5666666666666669,0.4,0.5,10.9,0.0,45.86666666666667,0.4,0.3333333333333333,1.0,1.5333333333333334
d3f0d126711eb978e948a2cbeb9c2b2b0ffa79541fe717c41575d91f5e21aa61,18.0,30.65,0.8888888888888888,0.0,11.8,0.1176470588235294,15.883333333333333,0.7930757222222221,0.0,3.0,0.4666666666666667
db2e162c7c1734ed5a58abc1706b9efbbdadbd2ba5f77bea6911a1aabd5e0831,31.0,31.916666666666668,0.064516129032258,0.8666666666666667,15.55,0.1,10.866666666666667,0.0448807741935483,0.7817543859649123,4.0,60.0
ea47fdcc277117bd663900f36ab09bad41ea1af083ccbc63647b5838e1056ebc,19.0,33.25,0.8421052631578947,0.0,13.2,0.0,11.883333333333333,0.7716165789473685,0.0,1.0,0.0
