SubjectID,Cluster,CompileCount,CompileSpanMinutes,CompileSuccessRate,MinutesFromGlobalFirstCompile,FracLong,MinutesToGlobalLastCompile,SessionCount
0031cf6ea10d6eecb4c2920a81095b6beee8c7e3971c26d4f4bd4b1282784ed1,4,30.61904761904762,6646.500793650794,0.976160740921136,70011.173015873,0.1942187158617252,76242.54285714286,6.619047619047619
01aa2a6fd77235caa3e9bd12fafd5ef45a2472853de504d55074bcf552e66172,3,12.0,67.98333333333333,1.0,23083.816666666666,0.2727272727272727,129748.41666666669,4.0
02752e41c2313fb787d99ea8705e24198662552ed61813f3a255e5c3bc940e8a,4,36.869565217391305,5752.231884057971,0.9781144506249696,67844.81666666667,0.1147855364758446,79303.16811594204,4.739130434782608
02bffd079ea088c3392776f7c96cec552938973e57bd6720ca46de11f01650b7,3,17.0,53.93333333333333,1.0,19834.866666666665,0.3125,133011.41666666666,6.0
0301161171c1cb936507368f8f85470c4d03ed1686e7c4bdad0049e8807d842a,1,28.4,6928.158333333333,0.9621780840127612,73513.37,0.1895628082105596,72458.68833333334,5.4
04443629da192d0ba811da39de13a0188ebc81f315b9778076c99b3d24c77ca8,1,27.681818181818183,6348.487878787881,0.9970397249809014,74972.58409090909,0.2173054664874556,71579.14469696967,5.681818181818182
04fd4acf7e3673e756a9eb641d6cc6dc76d4e3a450faf28bfd053a6da897dc43,3,12.0,64.98333333333333,1.0,21530.95,0.4545454545454545,131304.28333333333,6.0
061efd55e22cee5cc61633dd3f82d6b83727307bc487bbfa252d101df45d5270,4,68.15384615384616,10421.60128205128,0.9335674710211992,68637.69102564103,0.1020908946373903,73840.92435897436,7.3076923076923075
075b12bf003c3a146eeaca7b77488394ae317b4481bb19b94233eca62608acbe,4,45.35,6552.839166666666,0.962740128342209,71663.79666666668,0.1856110807762297,74683.58083333334,7.3
07b6add08d4b48e6c0a30c66ecbed689f8e12535afec86dca220765fefb14cbb,4,34.0,7155.099999999999,0.8979968203497615,125648.40416666667,0.1945901320901321,20096.7125,7.75
07c6549980f522d8460e258b99937f6aa062b748ca6e63ebc987a32f69ca5002,1,17.0,24.23333333333333,0.8823529411764706,102281.01666666666,0.0625,50594.96666666667,2.0
0821bdbe0e9b45ef1248f3ce2d378754ad010e060c72eb5ac45a143f8d00d2d5,1,19.142857142857142,15782.985714285716,1.0,40483.89523809524,0.1943034147288874,96633.33571428571,4.571428571428571
0ad9f193151b2b9ee24802793708005028088fd070d8baacea40222eee3eb0b0,4,32.625,8485.533333333333,0.9910714285714286,64991.290625,0.1997653943548165,79423.39270833333,5.8125
0be2ffdd8177f008c2139719375404a02209ad6c1ecac70647eed46c97024824,4,34.27777777777778,7341.286111111111,0.9656566737613882,72675.47962962963,0.135959555157164,72883.45092592592,4.944444444444445
0d89819dc405b1585ab3704393587e804ead36f6f767dcae3c728ff2ee99d4f2,1,23.0,5443.5136363636375,0.9430333642160924,60926.917424242434,0.2775154769747343,86529.78560606061,5.7727272727272725
0ed0c4cab57f5b1018a9f605ccd8092a9eb6f8c1c6f6b39b822dae5e782e19f1,2,20.0,72.56666666666666,0.6,72130.18333333333,0.1578947368421052,80697.46666666666,4.0
0f3ee595209f6fb56079235002193d7edc45addc3e85975498e7b53fd20c12b0,1,24.210526315789476,6835.828947368421,0.9685975921363476,65281.750000000015,0.2333806005138924,80782.63771929825,5.368421052631579
102fdecfe7d37180ebf92ac9f22f8288157a924e33876b2f5775dfe5c42948a8,1,31.428571428571427,9391.52738095238,0.982815428210165,73862.66904761904,0.165030660965924,69646.02023809524,5.214285714285714
1068b352ab9997f9dea00edda33965685f72eab755fd8d250c6dd2f2f0fd0b8e,1,37.25,29262.7125,0.9848345588235294,39109.99166666667,0.1662157287157287,84527.5125,6.0
10bcdd8d8d0b12e9fef3271e873bf3940a60e8ae4825ea24a5157a5f4e796c6d,3,13.0,6964.072222222222,0.9487179487179488,42358.01111111111,0.4332944832944833,103578.13333333332,4.333333333333333
144f345b8427e56e5f0557ca67575f1458e51502e4cbad144a637a70fd389a9a,4,31.571428571428573,5692.614285714286,0.9957373271889404,76288.9484126984,0.2780667442037022,70918.65396825396,7.142857142857143
1493f647480bf7445d8942bef623217fd89160649e6d6e5c1e04bc7e75a428f4,1,22.0,13446.976666666664,1.0,62337.40666666666,0.2478450090675913,77115.83333333334,4.6
14da2e46f92711a808b506b4678e5bf0e269f8f0f90f7890fef17ad4b33ace4c,4,72.44444444444444,15318.559259259258,0.8777473698223074,31550.412962962964,0.1001468627839928,106031.24444444446,4.666666666666667
16481dd59db8f29d609902af0f4d0e8fad02591bb8ec897478327e142ecd03ed,4,41.5,7198.838888888889,0.9826322157619596,55033.07499999999,0.1528349828006764,90668.30277777778,6.722222222222222
1681192784be6ea2a41de7f68e57e8b304c6dab4afa4eb766d61f02c052e8368,4,29.16,5241.048,0.994032402434658,64977.46333333334,0.2505029205127653,82681.70533333335,6.96
1694c76a84d2134aa72559d7a6ce62f4df7701a27a8a7582f6251f8216278b7a,4,41.22222222222222,6378.784259259259,0.9805964584495352,76932.43425925926,0.1117557339340845,69588.99814814815,5.222222222222222
16cd71bf550a1dfef691dc56d367e665783d44f89b66eb3b40c1214f612e9370,3,16.076923076923077,5295.903846153846,0.9905863367401828,44770.94743589743,0.3193303772251141,102833.36538461536,4.6923076923076925
18c559c887705e917127890561acdc63bce8efb65f2144b422a5c0ed17cd5d5c,3,29.428571428571427,5353.240476190476,1.0,20126.83571428572,0.2644830368044653,127420.14047619049,6.0
