component,explained_variance_ratio,explained_variance_pct,cumulative_variance_pct,eigenvalue
PC1,0.47265482186508145,47.265482186508144,47.265482186508144,4.7493817849244895
PC2,0.27494115830755606,27.494115830755604,74.75959801726376,2.7626937646363117
PC3,0.09066182690276255,9.066182690276255,83.82578070754,0.9109980674287249
PC4,0.0592457723575336,5.92457723575336,89.75035794329337,0.5953198381819801
PC5,0.04391462086046961,4.39146208604696,94.14182002934032,0.4412676878733177
PC6,0.0281205626290446,2.81205626290446,96.95387629224479,0.2825641075768732
PC7,0.015664761211602537,1.5664761211602536,98.52035241340505,0.15740436386537812
PC8,0.01240978702551456,1.240978702551456,99.7613311159565,0.12469737687473564
PC9,0.0023603615636560247,0.23603615636560246,99.99736727232211,0.02371764276523928
PC10,2.6327276778845086e-05,0.0026327276778845086,99.99999999999999,0.0002645446169082018
