SubjectID,PC1,PC2,PC3,PC4,PC5,PC6,PC7,PC8,PC9,PC10
abord.mesestime,-1.691578870750015,-1.0351281188219925,-0.32218155344153093,1.1190591073150948,-0.009947043249738519,-0.7018559426586947,-0.1112017481876053,0.5036057649284409,-0.07425876624602798,-0.003739311507853357
abregeait.rangeais,3.8775408667974194,-3.4331107520574973,2.6322250888614276,-0.33588417426237854,0.7800853198481051,-0.3969248268524279,0.5652687662340034,0.26841082293186075,0.012399562929898899,0.0016663593365747016
accord.vident,1.3677210153231796,-1.2341515148971287,-0.6226455792533344,1.5019028949227693,-1.177968155315346,0.9510527534254317,-0.1349327616288166,-0.12825266376377686,0.08696714774973469,0.01750963340771992
agiront.varloper,-0.1498672012466599,-0.5787313205213079,-1.1421271608912642,0.8770364830500516,0.5148022876170096,-0.5142155274962661,0.23740675483710455,-0.061265647549944305,-0.13857521345836415,-0.02006361535964265
agraire.orienteur,1.6215337389358224,0.04026775496743427,-0.8074736051174665,1.2547810415096674,-0.8497845635778781,0.9827476623217818,0.33710921265619154,0.042256114209554455,0.0715634224453661,0.009260618162986813
agregeait.oxydants,0.2071240661283829,0.2704218826847028,-0.44721515235434484,-0.39479358394995195,0.012732240076745777,-1.0522613429623586,-0.027145547108911882,0.2803323110667982,0.09812936263336441,-0.01600839889372254
alimente.cadriez,0.6376673362970809,1.169383629734709,0.25610572172836255,-0.7103401061595842,0.04109681464927623,0.02226769804356892,0.1482922538647047,0.04477952654248369,0.06342379000718973,-0.011595814752534716
amnistie.douteuse,0.09158216250428491,0.3694254363641208,-0.0021277542528954155,-0.7164841326951411,0.09273919804889241,0.3083396337083545,-0.46169970139948185,-0.1470065571325136,0.07086565231571622,0.01281744555492798
annexez.closant,-0.10699270899529366,1.4986948434633678,-0.12828497403793976,0.16842993634077785,0.18578644457854498,-0.02794006554946151,-0.42393786188840205,-0.2684348397237533,-0.29604860072573413,-0.009583742399899339
apercevra.conter,0.3362100412478223,1.827569851600672,-0.07390685411849983,-0.3301459827880971,0.10052044818426692,-0.19518590112718484,-0.2448127413386176,-0.022579294032200613,-0.014005954165066592,0.015649847625664445
apprecies.emmental,-0.5132259220360778,-2.5591274409667992,-1.3667089115844586,0.29428013687182775,0.5288597483771672,-0.3178243551378409,0.015305491395385422,-0.14079773366492482,-0.0652456134217833,-0.01788291515181101
appret.terrais,-0.4747660225905478,1.894892600937891,0.11361193387302715,-0.011393782550286153,0.0862543060481229,-0.09348876626566087,-0.18888977395600534,-0.07012864484988522,-0.006174242473288952,0.010873852779279146
asperge.goutait,-3.078491244008872,-1.3911038592199227,-0.5490566979096712,0.7126467361313775,0.269102229827549,-0.37112253612967394,0.04683021560013986,0.05904301181600995,0.039568928667300496,0.002965185263247003
assumait.reverdies,-3.4141749342147794,-1.061374371122764,-0.7246421868124764,0.3039833966344984,-0.22155283229748288,0.14194142960709497,-0.1255614204010488,-0.031242709726422815,0.09581946556706575,0.009976332760983002
atroce.adjugerez,-1.5012571630093214,0.38249049217258846,-0.321578952566218,-0.1221503157500937,-0.3189446861260396,0.9785720817023481,-0.3592422912199248,-0.1969186394315075,-0.06033143335110019,0.014872230810393816
auspices.heurtoir,0.6646656582665589,-0.38972776502270057,-1.4823364177896026,-0.5481644230415714,0.7541704163325761,-0.4874513164913998,-0.739045264025311,-0.08923811841429477,0.3719826072351904,-0.002387261796076578
autonomes.puisera,-1.89756464968498,-1.6245819151775915,-0.9950807005131157,0.43861350519516545,0.2588099205197038,0.05682478780443142,0.19395842010500197,0.30097978119541036,0.006732686536647974,-0.011669270966720813
avereront.vouees,-2.5206941225874164,1.2417614178019913,0.3593394165526405,0.591524582676135,-0.08102423909054503,-0.30278859988404094,-0.11460610195006957,0.4248851555277463,-0.030485819434697768,-0.007396076687627255
avertis.cormoran,0.008831109174161585,-0.6082442537254953,0.4803969838925331,-0.4687601424454168,-0.38304599934046774,0.3727939094203554,-0.11510601555564319,0.09170918805327197,-0.1754875386311354,0.009297746420580344
avorteras.statuais,0.5049149648355836,2.6653959669096317,0.44123045454529786,0.41138990916732554,0.1407490715267728,-0.6374596336478283,0.29582421804632647,-0.7560305530902631,0.09476096010885246,-0.010269788436761402
avouait.happes,-0.9002775594787251,1.0789936119881416,0.2734068466283731,-0.1842363892273869,0.08699877511689316,0.15889511948039572,-0.20864277230038702,-0.43985144650222746,-0.21552570590838735,0.012612017149282125
bafouer.fuie,0.4046533307808654,-0.0588174718536061,-1.023446526394977,-0.34080829347770497,0.7066481311175147,0.48790997615760606,0.4312877323114428,0.5286291159728196,0.06622472517419416,0.014862266008150523
batit.instants,-0.521687304701026,-2.461545063358498,0.5726061646283533,0.5387488241838824,1.434256465756064,-0.15548710641230998,0.3048721613859157,0.21409912137874348,-0.12414638568583601,-0.010900052744677431
bavaient.unissais,1.8847129271082954,0.6460073094275353,-0.7478452193259753,0.2676576927323135,0.08284698374262707,-0.11985169116111498,-0.3524549047445787,0.4637033107073561,0.11885713940983084,-0.01235715773692275
beats.supplicia,-2.119301294876002,-0.71562210671494,-0.5278462707473556,0.30084716459070554,-0.47870286409495766,0.9770375077146354,-0.4237692151328869,-0.10554025142816104,-0.005713699781456108,0.0002311313739052796
becquee.aerait,1.8795670887734448,2.766063230879231,0.010300605622287289,-0.06631009231293873,0.12225560711218399,-0.8742887155244435,0.007578219272938778,0.388963014376652,0.057550537423927545,-0.014777564882327858
blason.ameuterez,0.7674794654153366,0.012116700816375992,-0.2657697014662045,-0.2551141667730563,-1.0124952322535437,0.5470105423256353,-0.4027169274712838,-0.24536756966313514,0.027872244602203385,-0.018671602275238963
borderais.calmait,1.0893948777449975,0.9280341185396611,-0.5279144939531727,-0.026751651742027843,0.27504875737022655,0.04766597610381433,0.0837593255955848,-0.107582360721067,0.016046180620588917,0.012413125751701599
boudeuses.conforte,9.443941277339398,-2.3060971961139423,-0.6271805680295508,3.8047924051393096,-2.316720833520298,-0.6496342782611615,0.3428101222545966,0.20618468804826423,0.2166335838248351,0.028897445579816553
